LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Product Link
C66501,CL10B104KO8NNNC,Samsung Electro-Mechanics,0603,,16V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0026,0.26,https://assets.lcsc.com/images/lcsc/96x96/20221230_Samsung-Electro-Mechanics-CL10B104KO8NNNC_C66501_front.jpg
C92487,CL10A106MO8NQNC,Samsung Electro-Mechanics,0603,,16V 10uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0142,0.71,https://assets.lcsc.com/images/lcsc/96x96/20221231_Samsung-Electro-Mechanics-CL10A106MO8NQNC_C92487_front.jpg
C576819,CC0603JRNPO9BN500,YAGEO,0603,,50V 50pF NP0 ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0028,0.28,https://assets.lcsc.com/images/lcsc/96x96/20230124_YAGEO-CC0603JRNPO9BN500_C576819_front.jpg
C2762594,CL10A226MO7JZNC,Samsung Electro-Mechanics,0603,,16V 22uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,10,0.0488,0.98,https://assets.lcsc.com/images/lcsc/96x96/20230129_Samsung-Electro-Mechanics-CL10A226MO7JZNC_C2762594_front.jpg
C4747969,RST10UF25V014,KNSCHA,"SMD,D4xL5.4mm",,"10uF 25V 14mA@120Hz ±20% SMD,D4xL5.4mm  Aluminum Electrolytic Capacitors - SMD ROHS",yes,20,20,0.0204,0.41,https://assets.lcsc.com/images/lcsc/96x96/20230127_KNSCHA-RST10UF25V014_C4747969_front.jpg
C1589,CL10B103KB8NNNC,Samsung Electro-Mechanics,0603,,50V 10nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0026,0.26,https://assets.lcsc.com/images/lcsc/96x96/20221227_Samsung-Electro-Mechanics-CL10B103KB8NNNC_C1589_front.jpg
C2800965,PTS636 SK25J SMTR LFS,C&K,SMD,,0.05A Brick nogging SPST - NO 250gf 12V SMD  Tactile Switches ROHS,yes,10,5,0.0526,0.53,https://assets.lcsc.com/images/lcsc/96x96/20230107_C-K-PTS636-SK25J-SMTR-LFS_C2800965_front.jpg
C118954,3296W-1-103,BOCHEN(Chengdu Guosheng Tech),Plugin,,±10% 10kΩ Plugin  Variable Resistors/Potentiometers ROHS,yes,5,5,0.1394,0.70,https://assets.lcsc.com/images/lcsc/96x96/20230101_BOCHEN-Chengdu-Guosheng-Tech-3296W-1-103_C118954_front.jpg
C470291,RK09K1130ACL,ALPSALPINE,Plugin,,±20% 50mW 50kΩ Plugin  Variable Resistors/Potentiometers ROHS,yes,2,1,0.3921,0.78,https://assets.lcsc.com/images/lcsc/96x96/20230118_ALPSALPINE-RK09K1130ACL_C470291_front.jpg
C5205141,AMS1117-3.3V,JSMSEMI,SOT-223,,800mA 3.3V 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,yes,10,10,0.0394,0.39,https://assets.lcsc.com/images/lcsc/96x96/20230224_JSMSEMI-AMS1117-3-3V_C5205141_front.jpg
C6778,SN74HCT244PWR,Texas Instruments,TSSOP-20,,4 6mA 4.5V~5.5V 6mA 2 TSSOP-20  Buffer/Driver/Transceiver ROHS,yes,5,5,0.2808,1.40,https://assets.lcsc.com/images/lcsc/96x96/20221228_Texas-Instruments-SN74HCT244PWR_C6778_front.jpg
C387397,S3D25.000000A20F30T,Shenzhen SCTF Elec,SMD3225-4P,,5V ±20ppm CMOS 25MHz SMD3225-4P  Oscillators ROHS,yes,5,5,0.4373,2.19,https://assets.lcsc.com/images/lcsc/96x96/20230109_Shenzhen-SCTF-Elec-S3D25-000000A20F30T_C387397_front.jpg
